"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"1" 8.857 12.46 18.491 22.925 28.433 31.963 34.252
"2" 9.326 13.791 19.041 24.031 30.055 33.665 36.528
"3" 8.824 13.767 18.349 24.192 29.546 35.061 37.534
"4" 8.415 13.482 17.707 23.828 29.257 35.011 38.787
"5" 7.804 12.912 17.656 23.049 28.39 35.021 38.699
"6" 8.114 12.08 17.444 22.023 28.727 34.08 38.967
"7" 8.975 12.839 18.334 23.033 29.244 34.66 40.903
"8" 9.345 13.593 18.97 23.933 30.219 36.088 42.937
"9" 8.729 13.919 18.306 24.224 29.49 36.098 42.281
"10" 8.417 13.777 17.899 24.079 28.913 35.928 41.263
"11" 8.086 12.862 17.571 23.067 28.474 34.967 40.69
"12" 8.144 12.039 17.492 22.248 28.726 33.898 41.03
"13" 9.069 12.463 18.289 22.868 29.545 34.597 42.005
"14" 9.25 13.501 18.96 23.83 29.929 35.848 42.801
"15" 8.739 13.941 18.445 24.181 29.731 36.372 42.257
"16" 8.375 13.685 17.962 23.949 29.251 35.979 41.686
