"prim_ppp2m" "relnonwB2j_1" "relnonwB2j_2p" "ageGpl" "endIntervall" "cumInfl" "fever500" "nchildrenL" "reltotA1j_all" "reltotA2j_12" "reltotA2j_3p"
0.822 1.065 0.527 0 9 6.1103 6 28 3.479 1.677 1.802
0.638 0.851 0.566 0 10 5.8919 9 22 3.154 1.333 1.821
0.593 0.678 0.585 0 11 5.6602 7 15 2.728 0.986 1.742
1.096 0.579 0.503 0 12 5.7008 3 10 2.392 0.924 1.468
1.802 0.697 0.511 0 13 6.3483 3 7 2.739 1.31 1.429
1.115 0.946 0.505 0 14 6.475 3 3 3.211 1.705 1.506
0.714 1.023 0.515 0 15 6.1173 1 1 3.196 1.52 1.676
0.71 0.901 0.576 0 16 5.8625 0 0 3.493 1.438 2.055
0.818 1.065 0.909 1 9 9.7433 3 21 4.12 1.87 2.25
0.7 0.861 0.98 1 10 9.6439 5 28 4.083 1.558 2.525
0.657 0.678 0.888 1 11 9.0034 5 29 3.454 1.226 2.228
0.972 0.558 0.837 1 12 8.4273 22 30 2.611 0.978 1.633
1.71 0.8 0.799 1 13 8.7241 10 25 2.989 1.413 1.576
1.24 0.999 0.836 1 14 9.4507 10 20 3.988 1.999 1.989
0.816 1.076 0.908 1 15 9.7587 6 10 4.09 1.848 2.242
0.692 0.884 1.015 1 16 9.5795 0 5 4.318 1.591 2.727
0.883 1.027 1.093 2 9 12.8142 3 11 4.559 1.934 2.625
0.706 0.99 1.176 2 10 12.5293 3 12 4.39 1.764 2.626
0.64 0.759 1.045 2 11 12.2997 5 14 3.616 1.371 2.245
1.199 0.622 0.947 2 12 12.2444 6 22 3.275 1.21 2.065
1.727 0.787 0.828 2 13 12.8023 8 21 3.175 1.476 1.699
1.265 1.158 0.999 2 14 13.272 7 26 4.328 2.162 2.166
0.905 1.147 1.151 2 15 12.9115 8 30 5.052 2.236 2.816
0.779 0.874 1.117 2 16 12.5734 1 26 4.542 1.669 2.873
0.88 1.116 1.135 3 9 16.9568 8 19 4.862 2.093 2.769
0.698 1.063 1.291 3 10 16.8553 5 16 4.563 1.777 2.786
0.614 0.772 1.197 3 11 16.1469 5 14 3.815 1.409 2.406
1.141 0.72 1.151 3 12 15.5736 8 13 3.455 1.298 2.157
1.725 0.848 0.934 3 13 16.0076 3 13 3.45 1.584 1.866
1.306 1.26 1.125 3 14 16.681 1 14 4.77 2.399 2.371
0.935 1.134 1.176 3 15 16.9267 4 19 5.181 2.188 2.993
0.69 0.986 1.255 3 16 16.7643 2 22 4.623 1.73 2.893
0.869 1.319 1.326 4 9 20.643 1 5 5.138 2.348 2.79
0.78 1.05 1.372 4 10 20.2391 0 15 5.11 1.99 3.12
0.725 0.807 1.214 4 11 19.9318 5 21 4.525 1.656 2.869
1.132 0.718 1.141 4 12 20.1082 4 18 3.653 1.346 2.307
1.997 0.906 1.152 4 13 20.6815 3 17 4 1.842 2.158
1.278 1.28 1.119 4 14 20.9503 5 15 4.67 2.383 2.287
0.945 1.291 1.418 4 15 20.8117 2 12 5.514 2.472 3.042
0.719 0.986 1.397 4 16 20.4757 1 14 5.019 1.903 3.116
1.116 1.443 1.336 5 9 25.2686 0 0 6.683 2.959 3.724
0.894 0.927 1.231 5 10 25.1496 0 0 6.361 2.274 4.087
0.796 0.787 1.203 5 11 24.4769 0 2 5.284 1.728 3.556
1.318 0.657 1.07 5 12 23.7286 1 8 4.035 1.378 2.657
1.973 0.98 1.122 5 13 24.2179 0 13 4.153 1.873 2.28
1.336 1.523 1.236 5 14 25.0936 4 17 5.514 2.832 2.682
0.964 1.403 1.464 5 15 25.4604 3 18 6.03 2.626 3.404
0.769 1.042 1.493 5 16 25.1853 0 16 5.594 2.124 3.47
1.138 1.369 1.387 6 9 29.5967 0 0 7.063 2.85 4.213
0.923 1.01 1.274 6 10 28.8841 0 0 6.504 2.285 4.219
0.834 0.918 1.303 6 11 28.483 0 0 5.577 1.833 3.744
1.554 0.843 1.047 6 12 28.721 0 0 4.767 1.677 3.09
2.455 0.786 1.024 6 13 29.4035 0 0 5.277 2.152 3.125
1.565 1.183 1.069 6 14 29.9607 0 2 6.197 2.896 3.301
1.006 1.386 1.393 6 15 29.5799 1 6 6.218 2.608 3.61
0.801 1.122 1.528 6 16 29.1802 0 13 5.676 2.125 3.551
