"prim_ppp2m" "relnonwB2j_1" "relnonwB2j_2p" "ageGpl" "endIntervall" "cumInfl" "fever500" "nchildrenL" "reltotA1j_all" "reltotA2j_12" "reltotA2j_3p"
0.878 1.093 0.458 0 9 7.087948 2 5 4.281 1.77 2.511
0.809 1.059 0.582 0 10 6.834604 1 5 3.7 1.477 2.223
0.68 0.792 0.632 0 11 6.565832 2 4 3.048 1.181 1.867
1.116 0.658 0.652 0 12 6.612928 1 1 2.509 1.014 1.495
2.255 0.828 0.621 0 13 7.364028 0 0 3.432 1.643 1.789
1.612 0.78 0.455 0 14 7.511 0 0 4.526 2.229 2.297
1.091 0.96 0.397 0 15 7.096068 0 0 4.584 1.926 2.658
0.856 0.916 0.446 0 16 6.8005 0 0 4.126 1.571 2.555
1.136 1.391 1.091 1 9 11.302228 0 1 5.568 2.502 3.066
0.921 0.998 0.837 1 10 11.186924 0 1 5.197 1.832 3.365
0.746 0.81 0.851 1 11 10.443944 1 2 4.021 1.376 2.645
1.085 0.695 0.866 1 12 9.775668 0 4 2.846 1.078 1.768
1.967 0.921 0.968 1 13 10.119956 2 5 3.299 1.577 1.722
1.248 1.146 0.952 1 14 10.962812 4 4 4.048 2.193 1.855
1.085 1.317 1.111 1 15 11.320092 0 0 5.525 2.428 3.097
0.854 0.969 0.865 1 16 11.11222 0 0 5.243 1.846 3.397
1.094 1.328 1.271 2 9 14.864472 0 0 5.978 2.615 3.363
0.904 0.873 1.094 2 10 14.533988 0 0 5.807 2.149 3.658
0.835 0.773 1.109 2 11 14.267652 0 0 5.029 1.699 3.33
1.469 0.687 0.904 2 12 14.203504 0 1 4.17 1.464 2.706
2.523 0.699 0.825 2 13 14.850668 0 1 4.795 2.046 2.749
1.445 1.135 0.924 2 14 15.39552 0 2 4.908 2.312 2.596
1.021 1.317 1.361 2 15 14.97734 2 5 5.139 2.214 2.925
0.734 1.1 1.434 2 16 14.585144 0 5 4.689 1.972 2.717
1.155 1.512 0.957 3 9 19.669888 0 2 6.152 2.49 3.662
0.92 1.218 1.311 3 10 19.552148 0 0 6.367 2.308 4.059
0.87 0.879 1.095 3 11 18.730404 0 0 5.291 1.78 3.511
1.571 0.732 1.031 3 12 18.065376 0 0 4.471 1.533 2.938
2.556 0.836 0.923 3 13 18.568816 0 0 5.07 2.137 2.933
1.815 1.093 0.911 3 14 19.34996 0 0 6.496 2.952 3.544
1.209 1.408 0.979 3 15 19.634972 0 1 6.911 2.607 4.304
0.831 1.122 1.089 3 16 19.446588 0 1 4.988 1.802 3.186
1.297 1.475 0.946 4 9 23.94588 0 0 7.236 2.891 4.345
0.805 1.386 1.131 4 10 23.477356 0 2 5.546 1.995 3.551
0.736 1.169 1.364 4 11 23.120888 0 2 4.611 1.658 2.953
1.496 0.998 1.357 4 12 23.325512 0 2 4.472 1.628 2.844
2.653 1.04 1.134 4 13 23.99054 0 0 5.423 2.327 3.096
1.893 1.144 1.022 4 14 24.302348 0 0 7.224 3.257 3.967
1.274 1.516 1.097 4 15 24.141572 0 0 7.477 2.778 4.699
0.917 1.342 1.182 4 16 23.751812 0 0 6.844 2.41 4.434
1.272 1.86 1.478 5 9 29.311576 0 0 7.985 3.424 4.561
1.012 1.386 1.22 5 10 29.173536 0 0 7.402 2.493 4.909
0.911 1.119 1.177 5 11 28.393204 0 0 5.974 1.895 4.079
1.706 0.812 1.191 5 12 27.525176 0 0 5.292 1.746 3.546
2.33 0.956 1.119 5 13 28.092764 0 2 4.645 2.014 2.631
1.566 1.668 1.386 5 14 29.108576 0 2 5.898 2.975 2.923
1.133 1.845 1.657 5 15 29.534064 0 2 6.979 3.047 3.932
0.822 1.492 1.527 5 16 29.214948 0 1 5.873 2.156 3.717
1.365 1.458 1.163 6 9 34.332172 0 0 8.211 3.274 4.937
1.09 1.278 1.483 6 10 33.505556 0 0 7.636 2.721 4.915
0.996 1.016 1.488 6 11 33.04028 0 0 6.393 2.126 4.267
1.752 0.931 1.179 6 12 33.31636 0 0 5.576 1.907 3.669
2.858 0.907 1.153 6 13 34.10806 0 0 6.08 2.473 3.607
1.978 1.339 1.127 6 14 34.754412 0 0 7.897 3.562 4.335
1.373 1.462 1.369 6 15 34.312684 0 0 8.435 3.326 5.109
0.837 1.237 1.489 6 16 33.849032 0 1 6.262 2.238 4.024
