"prim_ppp2m" "relnonwB2j_1" "relnonwB2j_2p" "ageGpl" "endIntervall" "cumInfl" "fever500" "nchildrenL" "reltotA1j_all" "reltotA2j_12" "reltotA2j_3p"
1.094 1.499 0.8 0 9 8.729 5 9 4.429 2.282 2.147
0.837 1.191 0.885 0 10 8.417 3 10 4.229 1.808 2.421
0.791 1.074 0.861 0 11 8.086 4 8 3.827 1.553 2.274
1.307 0.85 0.797 0 12 8.144 2 10 3.308 1.311 1.997
2.232 1.013 0.75 0 13 9.069 2 6 3.338 1.664 1.674
1.444 1.313 0.751 0 14 9.25 0 4 3.912 2.112 1.8
0.909 1.473 0.843 0 15 8.739 0 2 4.113 2.133 1.98
1.038 1.387 0.872 0 16 8.375 0 0 4.911 2.131 2.78
1.17 1.447 1.276 1 9 13.919 3 8 5.432 2.601 2.831
0.944 1.166 1.518 1 10 13.777 3 12 5.362 2.216 3.146
0.962 0.981 1.433 1 11 12.862 4 14 5.069 1.9 3.169
1.486 0.814 1.162 1 12 12.039 9 17 3.857 1.483 2.374
2.29 1.179 1.143 1 13 12.463 6 15 4.029 1.961 2.068
1.606 1.473 1.242 1 14 13.501 4 11 5.37 2.819 2.551
1.143 1.438 1.458 1 15 13.941 1 8 6 2.674 3.326
0.99 1.175 1.483 1 16 13.685 0 5 6.005 2.314 3.691
1.296 1.58 1.545 2 9 18.306 0 2 6.813 3.066 3.747
1.015 1.256 1.707 2 10 17.899 2 7 6.264 2.448 3.816
0.993 1.056 1.547 2 11 17.571 4 15 5.295 1.982 3.313
1.389 0.82 1.287 2 12 17.492 4 17 3.959 1.526 2.433
2.469 1.252 1.327 2 13 18.289 7 19 4.538 2.19 2.348
1.837 1.553 1.441 2 14 18.96 4 19 6.192 3.137 3.055
1.198 1.538 1.666 2 15 18.445 3 20 6.494 2.927 3.567
0.978 1.304 1.777 2 16 17.962 3 15 6.096 2.434 3.662
1.192 1.632 1.612 3 9 24.224 2 6 6.593 3.027 3.566
0.938 1.426 1.895 3 10 24.079 1 2 6.074 2.491 3.583
0.973 1.136 1.725 3 11 23.067 0 3 5.521 2.115 3.406
1.675 0.992 1.573 3 12 22.248 0 10 4.877 1.862 3.015
2.583 1.24 1.353 3 13 22.868 2 13 5.036 2.28 2.756
1.887 1.699 1.475 3 14 23.83 2 19 6.592 3.363 3.229
1.264 1.581 1.769 3 15 24.181 4 13 6.835 2.981 3.854
1.01 1.502 1.868 3 16 23.949 4 19 7.111 2.749 4.362
1.349 1.835 1.864 4 9 29.49 0 3 7.86 3.436 4.424
1.057 1.503 1.954 4 10 28.913 2 9 7.029 2.678 4.351
0.955 1.19 1.859 4 11 28.474 3 11 6.119 2.265 3.854
1.684 1.035 1.66 4 12 28.726 2 10 5.032 1.923 3.109
2.768 1.29 1.611 4 13 29.545 0 6 5.451 2.513 2.938
1.878 1.78 1.647 4 14 29.929 1 4 7.306 3.628 3.678
1.285 1.825 1.898 4 15 29.731 1 11 7.767 3.425 4.342
0.98 1.546 2.06 4 16 29.251 0 14 7.187 2.755 4.432
1.49 2.079 2.043 5 9 36.098 0 0 9.138 4.105 5.033
1.172 1.305 1.81 5 10 35.928 0 0 8.893 3.179 5.714
1.184 1.144 1.712 5 11 34.967 0 0 7.639 2.53 5.109
1.561 1.02 1.552 5 12 33.898 0 2 5.023 1.809 3.214
2.264 1.374 1.515 5 13 34.597 0 6 4.696 2.263 2.433
1.777 2.125 1.848 5 14 35.848 2 10 6.718 3.634 3.084
1.233 2.03 2.239 5 15 36.372 1 10 7.951 3.643 4.308
1.096 1.648 2.121 5 16 35.979 0 4 7.591 3.026 4.565
1.587 1.484 1.756 6 9 42.281 0 0 10.062 4.044 6.018
1.285 1.385 1.988 6 10 41.263 0 0 9.455 3.382 6.073
1.187 1.211 1.929 6 11 40.69 0 0 7.955 2.629 5.326
2.17 1.056 1.533 6 12 41.03 0 0 6.795 2.358 4.437
3.539 1.138 1.474 6 13 42.005 0 0 7.558 3.113 4.445
2.442 1.463 1.502 6 14 42.801 0 0 9.901 4.518 5.383
1.63 1.535 1.807 6 15 42.257 0 2 10.302 4.037 6.265
1.061 1.435 2.06 6 16 41.686 0 9 8.411 3.049 5.362
