"prim_ppp2m" "relnonwB2j_1" "relnonwB2j_2p" "ageGpl" "endIntervall" "cumInfl" "fever500" "nchildrenL" "reltotA1j_all" "reltotA2j_12" "reltotA2j_3p"
1.212 1.733 2.086 0 9 10.0911326397919 5 9 7.114 3.046 4.068
1.052 1.266 2.331 0 10 9.73044603381014 3 10 6.596 2.312 4.284
0.92 1.036 2.233 0 11 9.34779453836151 4 8 6.019 1.866 4.153
1.7 0.833 1.964 0 12 9.41484525357607 2 10 4.942 1.57 3.372
2.63 1.316 1.82 0 13 10.484188556567 2 6 5.53 2.389 3.141
1.673 1.768 1.794 0 14 10.693433029909 0 4 6.3 3.057 3.243
1.099 1.569 2.044 0 15 10.1026931079324 0 2 6.331 2.757 3.574
1.222 1.39 2.446 0 16 9.68189206762029 0 0 7.557 2.687 4.87
1.243 1.864 3.021 1 9 16.0910156046814 3 8 8.905 3.436 5.469
1.038 1.434 3.384 1 10 15.9268569570871 3 12 8.5 2.791 5.709
1.081 1.22 2.963 1 11 14.8690741222367 4 14 7.762 2.422 5.34
1.602 1.044 2.392 1 12 13.9176475942783 9 17 5.714 1.918 3.796
2.69 1.546 2.322 1 13 14.407811443433 6 15 6.399 2.713 3.686
1.958 2.098 2.553 1 14 15.6077880364109 4 11 8.548 3.84 4.708
1.374 1.875 3.184 1 15 16.1164486345904 1 8 9.254 3.544 5.71
1.168 1.527 3.454 1 16 15.8205006501951 0 5 9.627 3.045 6.582
1.567 2.176 3.536 2 9 21.1625929778934 0 2 11.022 4.131 6.891
1.17 1.504 3.743 2 10 20.6920819245774 2 7 9.634 3.014 6.62
1.128 1.289 3.521 2 11 20.3128985695709 4 15 8.571 2.529 6.042
1.717 1.057 2.761 2 12 20.2215708712614 4 17 6.334 1.951 4.383
2.775 1.666 2.619 2 13 21.1429401820546 7 19 7.161 3.019 4.142
2.107 2.328 2.906 2 14 21.9186475942783 4 19 9.61 4.29 5.32
1.341 2.07 3.512 2 15 21.3232834850455 3 20 10.097 3.892 6.205
1.144 1.569 3.667 2 16 20.7649128738622 3 15 9.329 3.034 6.295
1.376 2.022 3.535 3 9 28.004078023407 2 6 10.09 3.71 6.38
1.106 1.749 3.955 3 10 27.8364512353706 1 2 9.776 3.288 6.488
1.016 1.387 3.665 3 11 26.6665318595579 0 3 8.765 2.664 6.101
1.82 1.23 3.198 3 12 25.7197295188557 0 10 7.529 2.326 5.203
3.167 1.724 3.038 3 13 26.4364785435631 2 13 8.366 3.257 5.109
2.174 2.551 3.349 3 14 27.5485955786736 2 19 10.791 4.694 6.097
1.461 2.221 3.841 3 15 27.9543680104031 4 13 11.369 4.143 7.226
1.231 1.691 4.212 3 16 27.6861651495449 4 19 10.888 3.314 7.574
1.515 2.442 4.006 4 9 34.0918205461638 0 3 12.185 4.532 7.653
1.205 1.871 4.428 4 10 33.4247815344603 2 9 11.352 3.45 7.902
1.099 1.476 3.937 4 11 32.9172769830949 3 11 9.559 2.82 6.739
1.732 1.301 3.348 4 12 33.2086007802341 2 10 7.803 2.435 5.368
3.126 1.872 3.273 4 13 34.1554031209363 0 6 9.03 3.587 5.443
2.445 2.689 3.538 4 14 34.5993250975293 1 4 11.728 4.941 6.787
1.525 2.363 4.198 4 15 34.3704278283485 1 11 12.1 4.445 7.655
1.256 1.804 4.394 4 16 33.8155253576073 0 14 11.135 3.422 7.713
1.8 2.856 4.584 5 9 41.730977893368 0 0 14.641 5.582 9.059
1.503 1.923 4.994 5 10 41.5344499349805 0 0 13.997 3.939 10.058
1.256 1.568 4.404 5 11 40.423488946684 0 0 11.602 3.054 8.548
1.814 1.278 3.293 5 12 39.1876749024707 0 2 7.669 2.273 5.396
2.589 1.795 2.919 5 13 39.9957516254876 0 6 7.329 3.052 4.277
1.993 2.792 3.581 5 14 41.441966189857 2 10 10.563 4.959 5.604
1.4 2.561 4.431 5 15 42.0477347204161 1 10 12.269 4.806 7.463
1.306 2.051 4.883 5 16 41.5934083224967 0 4 12.715 3.944 8.771
1.915 2.625 4.875 6 9 48.8788153446034 0 0 15.819 5.132 10.687
1.476 2.05 5.19 6 10 47.7019596879064 0 0 14.663 4.168 10.495
1.42 1.653 4.76 6 11 47.039544863459 0 0 12.46 3.243 9.217
2.529 1.466 4.163 6 12 47.4326007802341 0 0 10.791 2.945 7.846
4.118 2.071 3.773 6 13 48.5597464239272 0 0 11.881 4.331 7.55
2.745 3.053 4.141 6 14 49.4799596879064 0 0 15.408 5.979 9.429
1.894 2.718 5.029 6 15 48.8510702210663 0 2 16.306 5.303 11.003
1.299 2.025 5.007 6 16 48.1909674902471 0 9 13.307 3.809 9.498
