"prim_ppp2m" "relnonwB2j_1" "relnonwB2j_2p" "ageGpl" "endIntervall" "cumInfl" "fever500" "nchildrenL" "reltotA1j_all" "reltotA2j_12" "reltotA2j_3p"
1.389 1.875 2.414 0 9 11.7057138621586 7 25 8.23 3.049 5.181
1.088 1.515 2.741 0 10 11.2873173992198 3 18 7.439 2.603 4.836
1.063 1.164 2.578 0 11 10.8434416644993 4 9 6.634 2.125 4.509
1.864 1.01 2.32 0 12 10.9212204941482 0 2 5.647 1.81 3.837
3.831 1.523 2.23 0 13 12.1616587256177 0 0 7.602 3.175 4.427
2.696 2.199 2.198 0 14 12.4043823146944 0 0 10.126 4.294 5.832
1.785 2.001 2.614 0 15 11.7191240052016 0 0 10.566 3.697 6.869
1.383 1.5 2.801 0 16 11.2309947984395 0 0 9.294 2.796 6.498
1.512 2.25 3.501 1 9 18.6655781014304 0 11 10.246 3.977 6.269
1.254 1.746 3.683 1 10 18.4751540702211 1 18 9.832 3.197 6.635
1.114 1.313 3.429 1 11 17.2481259817945 2 24 8.497 2.491 6.006
1.899 1.183 3.045 1 12 16.1444712093628 3 26 7.145 2.256 4.889
3.297 1.742 2.715 1 13 16.7130612743823 7 22 7.776 3.178 4.598
2.127 2.385 2.924 1 14 18.1050341222367 2 8 9.449 4.238 5.211
1.367 2.188 3.337 1 15 18.6950804161248 0 2 9.378 3.741 5.637
1.446 1.926 3.989 1 16 18.3517807542263 0 0 11.16 3.666 7.494
1.437 2.293 3.801 2 9 24.5486078543563 1 13 10.761 4.12 6.641
1.43 1.995 4.491 2 10 24.0028150325098 0 13 11.781 3.971 7.81
1.26 1.433 3.974 2 11 23.5629623407022 0 12 9.873 2.851 7.022
2.145 1.287 3.482 2 12 23.4570222106632 1 11 8.203 2.472 5.731
3.499 1.845 2.991 2 13 24.5258106111834 2 15 8.67 3.465 5.205
2.245 2.68 3.407 2 14 25.4256312093628 5 25 11.005 4.823 6.182
1.703 2.431 4.183 2 15 24.7350088426528 1 25 12.361 4.567 7.794
1.382 1.764 4.29 2 16 24.0872989336801 0 19 11.311 3.538 7.773
1.563 2.483 4.14 3 9 32.4847305071521 3 9 11.834 4.45 7.384
1.314 2.003 4.614 3 10 32.2902834330299 1 9 11.712 3.761 7.951
1.408 1.631 4.479 3 11 30.9331769570871 1 9 11.124 3.371 7.753
2.159 1.325 3.498 3 12 29.8348862418726 2 13 8.176 2.49 5.686
3.745 2.033 3.506 3 13 30.6663151105332 2 11 9.687 3.894 5.793
2.583 3.018 3.875 3 14 31.9563708712614 2 11 12.884 5.545 7.339
1.664 2.43 4.61 3 15 32.4270668920676 1 11 12.838 4.53 8.308
1.352 2.047 4.797 3 16 32.115951573472 1 16 12.291 3.871 8.42
1.659 2.751 4.667 4 9 39.5465118335501 0 1 13.348 5.05 8.298
1.228 2.048 4.643 4 10 38.772746579974 0 4 11.288 3.747 7.541
1.363 1.781 4.756 4 11 38.1840413003901 0 8 11.629 3.523 8.106
2.189 1.429 3.772 4 12 38.5219769050715 0 9 8.776 2.748 6.028
3.601 2.215 3.747 4 13 39.6202676202861 0 12 10.392 4.148 6.244
2.402 2.861 4.071 4 14 40.1352171131339 3 12 12.49 5.297 7.193
1.761 2.882 5.1 4 15 39.8696962808843 0 13 14.854 5.393 9.461
1.467 2.109 5.295 4 16 39.2260094148244 0 13 13.893 4.097 9.796
2.142 2.999 5.292 5 9 48.4079343563069 0 0 17.29 5.903 11.387
1.71 2.195 5.685 5 10 48.1799619245774 0 0 15.975 4.34 11.635
1.536 1.812 5.239 5 11 46.8912471781534 0 0 13.963 3.659 10.304
2.436 1.616 4.485 5 12 45.4577028868661 0 2 11.004 3.181 7.823
3.745 2.262 3.891 5 13 46.3950718855657 0 3 10.762 4.173 6.589
2.767 3.525 4.724 5 14 48.0726807802341 1 6 15.875 6.601 9.274
1.692 2.802 5.115 5 15 48.7753722756827 1 10 14.357 5.056 9.301
1.429 2.451 5.554 5 16 48.2483536540962 1 10 14.622 4.677 9.945
2.149 3.135 5.453 6 9 56.6994257997399 0 0 18.312 5.966 12.346
1.774 2.367 5.888 6 10 55.3342732379714 0 0 16.713 4.558 12.155
1.603 1.903 5.447 6 11 54.5658720416125 0 0 14.395 3.651 10.744
2.83 1.705 4.944 6 12 55.0218169050715 0 0 12.699 3.446 9.253
4.674 2.392 4.555 6 13 56.3293058517555 0 0 14.219 4.896 9.323
3.246 3.565 4.811 6 14 57.3967532379714 0 0 18.079 6.842 11.237
1.813 2.966 5.362 6 15 56.6672414564369 0 1 15.815 5.298 10.517
1.596 2.484 6.059 6 16 55.9015222886866 0 4 15.838 4.72 11.118
