"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"pp0" 0.409611082924741 0.00278471469384632 0.0980227437563194 0.241812405146786 0.340864412270421 0.401272312802889 0.470524633549596 0.632638083592014 1239.05988431363 0.999303972251216
"pr10" 0.148906429564804 0.00169118563019558 0.0555320964385962 0.0572900590441475 0.106148321099467 0.145271238656122 0.186098463488535 0.268147060128727 1078.21551973371 1.00480755541936
"pr20" 0.0458855306940367 0.000964613704997014 0.0296417253932719 0.00303203685466399 0.0224674876034625 0.0414659712927739 0.0656181373532729 0.110519162117083 944.278503703596 1.00331718254953
"xstar" 0.0897796671024148 0.000224272439508149 0.00802836526465073 0.074153997273929 0.0844792196979462 0.0894771627248413 0.0950575557565162 0.105572996914725 1281.45226292648 1.00017655444307
"b1" 0.398432333349632 0.00663604498571135 0.202342087614065 0.112679435441596 0.239852536559981 0.360848913167972 0.516118878677237 0.881719118706868 929.723503123026 1.00409104399633
"b2" 0.365452026315322 0.0104306247355698 0.26666150075622 0.0161386462177609 0.149370261847011 0.303591582667779 0.550340586543696 0.931745507784331 653.581869009579 1.00855382428096
"ppadjpred[1]" 0.409611082924741 0.00278471469384632 0.0980227437563194 0.241812405146786 0.340864412270421 0.401272312802889 0.470524633549596 0.632638083592014 1239.05988431363 0.999303972251216
"ppadjpred[2]" 0.374157165893332 0.00250358791675953 0.0882561158001841 0.222750053732329 0.311586943796796 0.366911991275315 0.428833922011112 0.573055661793748 1242.69321275816 0.999284183440211
"ppadjpred[3]" 0.341794304777833 0.00225288004542608 0.0795398761807557 0.204147822760023 0.285809901969677 0.335629036688538 0.390866661892619 0.518569630779104 1246.50402302723 0.999263851404651
"ppadjpred[4]" 0.312251074474943 0.00202928205782536 0.0717597763458558 0.187616330349143 0.261563467057711 0.306471347360633 0.356678695401468 0.469250493762613 1250.48164651389 0.999243287068656
"ppadjpred[5]" 0.285280051717019 0.00182983573905807 0.064813664198746 0.173008848410194 0.2398385360189 0.28075275752456 0.325318059150344 0.424607999645752 1254.61055829391 0.999222837710258
"ppadjpred[6]" 0.260655677892345 0.00165189701008789 0.0586102300081207 0.158339270283987 0.219356178969427 0.256692489174194 0.297428473547732 0.384601072470838 1258.87009615376 0.999202881928781
"ppadjpred[7]" 0.238172313463142 0.0014931031445904 0.0530678842278509 0.144968715453462 0.200623890234805 0.234961306627818 0.272057492814706 0.349344978023543 1263.23434781118 0.999183822613833
"ppadjpred[8]" 0.217642466689414 0.00135134346720244 0.0481137533331637 0.132439317425506 0.183157500612407 0.214792228113392 0.248766718859171 0.318646547844661 1267.67224491059 0.999166078005294
"ppadjpred[9]" 0.198895180937643 0.00122473316555526 0.0436827810951061 0.12189179056843 0.167629670848072 0.196704480855393 0.22708926774649 0.289155142243501 1272.14789382663 0.999150071098443
"ppadjpred[10]" 0.181774566280597 0.00111158988327117 0.0397169239035563 0.111845166425855 0.153327510921254 0.180127965293991 0.20777818225122 0.26405349433 1276.62115969511 0.99913621781779
