"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"pp0" 0.357450251656548 0.00251812804818138 0.0832405492933925 0.206428773039315 0.29996887761464 0.351889898167761 0.410254099339182 0.540051308324375 1092.73349104183 1.00050170301357
"pr0" 0.099035247841387 0.00115430588923666 0.0318928406707134 0.0416523255516564 0.0763441911768794 0.0980872894638947 0.120523173899053 0.166754198462472 763.386690142021 1.0009839626259
"xstar" 0.0768758990881655 0.000258357475425031 0.00687918963392162 0.0637515301045676 0.0722967529652136 0.0767629931020339 0.0814135604194817 0.090722569378244 708.977575223329 0.999195980351902
"b1" 0.305373090564524 0.00523550900413482 0.152255092463638 0.0893903750964121 0.193892292054991 0.280128782613471 0.383680300780171 0.682128324483886 845.71850429838 1.0017688218578
"ppadjpred[1]" 0.357450251656548 0.00251812804818138 0.0832405492933925 0.206428773039315 0.29996887761464 0.351889898167761 0.410254099339182 0.540051308324375 1092.73349104183 1.00050170301357
"ppadjpred[2]" 0.330822804641803 0.00230591264355137 0.0761996375778531 0.19146504645199 0.278224692636046 0.326231865226195 0.379175461764439 0.495786191375402 1091.99364336589 1.00059058050298
"ppadjpred[3]" 0.306193481212349 0.00211408693256631 0.0698091801981529 0.178419284972389 0.25726101557777 0.302543875061512 0.350850380091617 0.455311501705781 1090.38380436226 1.00068038527784
"ppadjpred[4]" 0.283411259194998 0.00194064839928028 0.0640079576092778 0.165658017500849 0.238443811722406 0.280591181067273 0.324150800398802 0.418924163723319 1087.8630422598 1.00077072583255
"ppadjpred[5]" 0.262336612139323 0.00178378028010489 0.058740360074734 0.154025744686359 0.221636655752717 0.259539537059108 0.299709149173207 0.385090499983995 1084.40245447239 1.00086117478012
"ppadjpred[6]" 0.242840628138148 0.0016418352370238 0.0539558864300558 0.143568482710639 0.205605088858869 0.240377668189371 0.277382558827132 0.354882936744559 1079.98697862302 1.00095127380704
"ppadjpred[7]" 0.22480419665965 0.00151332056211131 0.0496086883453017 0.133759254475727 0.190786360173101 0.222850133714098 0.256518770087718 0.327117915181399 1074.61679243121 1.00104054008468
"ppadjpred[8]" 0.208117258105974 0.00139688475602434 0.045657155896908 0.124590581030435 0.176803797839023 0.206227940754648 0.237308394682274 0.301469993033344 1068.30817891219 1.00112847404151
"ppadjpred[9]" 0.192678111226745 0.00129130533343005 0.0420635406038043 0.115672265714942 0.163707137663327 0.191023967204873 0.21996391204653 0.277405872492759 1061.09376283856 1.00121456831108
"ppadjpred[10]" 0.178392773896745 0.00119547771900144 0.038793612400848 0.107770482211399 0.151543390968992 0.177045704757512 0.203573912159888 0.255930129802501 1053.02206650275 1.00129831758211
"ppadjpred[11]" 0.165174393117952 0.00110840510896842 0.0358163473188982 0.100340022927987 0.140615609258966 0.163960653794396 0.188471947069742 0.237127096488505 1044.15638342444 1.00137922899795
"ppadjpred[12]" 0.152942700429437 0.00102918918537531 0.0331036429190735 0.0924587314863213 0.130242538680581 0.152085330126014 0.175010048827811 0.219116513025518 1034.57302201289 1.00145683269188
"ppadjpred[13]" 0.141623509206541 0.000957021583087917 0.0306300587919493 0.0858232988528383 0.120538883504379 0.140888085149696 0.161740519924411 0.202618198367079 1024.35902077628 1.00153069200934
"ppadjpred[14]" 0.131148250605207 0.000891176022939446 0.0283725796827347 0.0793326496759866 0.111567978396524 0.130688819729558 0.150111148138792 0.187503147880194 1013.60947628888 1.00160041296359
"ppadjpred[15]" 0.121453545160311 0.000831001037774379 0.026310399041901 0.0736113289573455 0.10316867232656 0.121260318303259 0.139023437539652 0.173044950675196 1002.42465007432 1.00166565250025
"ppadjpred[16]" 0.112480807279891 0.000775913231029629 0.0244247210274377 0.0681476278458793 0.0955503482991963 0.112170028122212 0.128949147078812 0.161017140231802 990.907028411532 1.00172612520726
"ppadjpred[17]" 0.10417588009199 0.000725391019358457 0.022698579199175 0.0627483528775893 0.0884266288860442 0.103805534398331 0.119299103984384 0.149086358430077 979.158499986404 1.00178160819444
"ppadjpred[18]" 0.0964886982987762 0.000678968821203233 0.0211166703461347 0.0578632619787057 0.0816859508956917 0.096045957141524 0.110762627145533 0.137901813347331 967.277792839253 1.00183194397447
"ppadjpred[19]" 0.0893729768750624 0.000636231661835095 0.0196652020730493 0.0533253181375737 0.0754807299468931 0.0889809139547734 0.102361865561622 0.128053451625043 955.358278441232 1.00187704129346
"ppadjpred[20]" 0.082785923616489 0.000596810172044228 0.0183317529404045 0.0488799264030201 0.0698090694953601 0.0824619267854715 0.094932308790056 0.119080616854115 943.486212020986 1.00191687397427
"ppadjpred[21]" 0.0766879736976579 0.000561528987849186 0.0171051441023205 0.0451420500430284 0.064710696596863 0.0764918413887071 0.0880762696989571 0.111148808371856 927.916960664718 1.00195147793972
"ppadjpred[22]" 0.0710425445433567 0.00052888871285475 0.0159753215175057 0.0412579571792386 0.0595878755767727 0.0707539057144025 0.0815485408682259 0.103703895460066 912.369203512473 1.00198094666708
"ppadjpred[23]" 0.0658158094477308 0.000499248626916281 0.0149332479202982 0.0383519479231969 0.0547473716180778 0.0654378446753288 0.0755857682994381 0.0961090770377833 894.694550970933 1.00200542538496
"ppadjpred[24]" 0.0609764884976684 0.000471713499914957 0.0139708038320958 0.0356620425700217 0.0506265273697392 0.0605960105838329 0.0703107571101647 0.0892923857713054 877.174864397434 1.00202510435653
"ppadjpred[25]" 0.0564956554685976 0.000445736638624242 0.0130806969695595 0.0327307725757082 0.0468712290575229 0.0560570372480602 0.0651027256337452 0.0831405504069108 861.202143926961 1.00204021159958
"ppadjpred[26]" 0.0523465594640899 0.000421418400889288 0.0122563794667516 0.0303213667847691 0.0432332538453487 0.0518787633921191 0.0605448309394775 0.0774090523569951 845.857895621802 1.00205100537762
"ppadjpred[27]" 0.0485044601658123 0.000398611202914814 0.0114919723760725 0.0280279898156387 0.0398896059973562 0.048110240451858 0.0560965077188627 0.0719721761435511 831.170548463208 1.00205776676128
"ppadjpred[28]" 0.0449464756480964 0.000377185285637565 0.0107821969499543 0.0258658889540128 0.0369408225918424 0.0445516835894227 0.0519969615840749 0.06737505361816 817.156118143251 1.0020607925123
"ppadjpred[29]" 0.0416514417922871 0.000357026373427488 0.0101223122341877 0.0238583294242697 0.0341616566719962 0.041234518980458 0.0482457364363301 0.0629827651678703 803.820100358692 1.00206038848799
"ppadjpred[30]" 0.0385997824106273 0.000338033611009905 0.00950805852679883 0.0219170338582016 0.0316453629556027 0.0381477249838974 0.0446796199258428 0.0587574995809451 791.159273936637 1.00205686370848
"ppadjpred[31]" 0.0357733892582219 0.000320117754929044 0.0089356062755636 0.020173851499566 0.029250286480828 0.0352786336741978 0.0415325685781926 0.0547380548706421 779.163364245791 1.00205052517562
"ppadjpred[32]" 0.0331555111750622 0.000303199595651817 0.00840151000421055 0.0185415183233738 0.0270291892831409 0.0326765128165449 0.0384976097708145 0.0510213691142941 767.816538027477 1.00204167348488
"ppadjpred[33]" 0.0307306516585965 0.000287208586832741 0.00790266687340363 0.0170510859365339 0.0249502055103552 0.0302600440166436 0.0356747651974389 0.0475835735751951 757.098716982455 1.00203059923131
