"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"pp0" 0.412114934449581 0.00248487133084255 0.0849003553911434 0.273451450303654 0.350151328543987 0.40145311245533 0.466063008074265 0.601204338285087 1167.37719633759 1.00354264459632
"pr10" 0.230128594057035 0.00182937138920254 0.062625861262357 0.1126378459579 0.186917678381757 0.229623319676681 0.271803599965875 0.354340554239748 1171.93535955943 1.00078844738753
"pr20" 0.124437531047064 0.00222943472880654 0.0628793946827019 0.0127814960828777 0.0796465895755626 0.124029188738198 0.167797637373059 0.248643214807129 795.476181716947 1.00228261368091
"xstar" 0.0886794499061223 0.000253023726877769 0.00819231044811473 0.0730027539644389 0.0830900470709512 0.0883435965560937 0.0941648620249142 0.105644344659271 1048.31139481987 1.00516239376474
"b1" 0.588587333021607 0.00628978726866369 0.207312386372547 0.216295647185529 0.437351618629746 0.577258157899221 0.744208360135574 0.969248046664844 1086.37205951852 1.00171540737242
"b2" 0.563700882602193 0.0103072450543984 0.268909942382252 0.0464958617430679 0.365355087313775 0.573995448815477 0.790985651049038 0.97704361613096 680.657315097694 1.00057270435173
"ppadjpred[1]" 0.412114934449581 0.00248487133084255 0.0849003553911434 0.273451450303654 0.350151328543987 0.40145311245533 0.466063008074265 0.601204338285087 1167.37719633759 1.00354264459632
"ppadjpred[2]" 0.376878048520015 0.00223279857526141 0.076265766931787 0.252204851930966 0.320909325529347 0.36780155280236 0.425991934628049 0.547914763805912 1166.70266821148 1.00346453058694
"ppadjpred[3]" 0.344677339148994 0.00200874305150846 0.0685950469641218 0.232601537856628 0.293950714492843 0.336354276234894 0.389065454220567 0.498141048809898 1166.10253795269 1.00337877521282
"ppadjpred[4]" 0.315249211791897 0.00180964866532991 0.0617813858558406 0.213713663660594 0.269439702642658 0.308083345221949 0.354919452742707 0.453092529759452 1165.5388612813 1.00328602640159
"ppadjpred[5]" 0.288353126336635 0.00163277275126839 0.0557291713147344 0.197418088571952 0.247102954283874 0.28265750790041 0.324532588781074 0.411178213789362 1164.96715864413 1.00318717763666
"ppadjpred[6]" 0.263769566110485 0.00147565414008016 0.0503528377875693 0.180379510590594 0.226595347967178 0.259225087968855 0.297032255002108 0.374299880697433 1164.33711613792 1.00308337199616
"ppadjpred[7]" 0.241298187074184 0.00133608470619534 0.0455758410956761 0.165499238175808 0.207571786175338 0.237216917577889 0.27067791793529 0.341056162258932 1163.59380114023 1.00297599223747
"ppadjpred[8]" 0.22075613110704 0.00121208406262512 0.0413297454437157 0.152180044653585 0.189918680860285 0.216953268549769 0.247832397151598 0.311872665380922 1162.6794034342 1.00286663494627
"ppadjpred[9]" 0.20197648873434 0.00110187708864114 0.0375534107553576 0.139679389941293 0.17388281144155 0.198450956343511 0.226853570385891 0.283880376851891 1161.53545101801 1.00275706814076
"ppadjpred[10]" 0.184806897964871 0.00100387398763098 0.0341922689803813 0.128749164948592 0.159206832103964 0.181636644784279 0.207701045568903 0.258972263467179 1160.10537963755 1.00264917349573
"ppadjpred[11]" 0.169108267103771 0.000916652581154607 0.0311976786556423 0.118648584032626 0.14559567316112 0.166164713632015 0.190138948189813 0.236038634319327 1158.33726805975 1.00254487629491
"ppadjpred[12]" 0.154753610495123 0.000838942553387497 0.0285263476637364 0.108826754300068 0.133070854655269 0.151864050275103 0.173900621461723 0.215989681284391 1156.18650146158 1.00244606800748
"ppadjpred[13]" 0.141626987139461 0.000769611371022211 0.026139814884336 0.0995937539509471 0.121600553369992 0.138723110946221 0.158793264781085 0.197832713088013 1153.61810637329 1.00235452766388
"ppadjpred[14]" 0.129622533032679 0.000707651620063182 0.0240039823170019 0.0903952849894036 0.11121533799779 0.126997775278857 0.145447050634578 0.181415454358913 1150.6085206662 1.00227184868713
"ppadjpred[15]" 0.118643578892812 0.000652379105250328 0.0220886902801773 0.0824601824678772 0.101859274702345 0.116326080241688 0.13336955653457 0.166444404202117 1146.4096837052 1.00219937737712
"ppadjpred[16]" 0.108601845687217 0.000602882756140899 0.0203673294313785 0.0754800492146544 0.0931587858821047 0.106284861079105 0.121969413124859 0.152224167953784 1141.30692259749 1.00213816790117
"ppadjpred[17]" 0.0994167110514876 0.000558348337225055 0.0188164845485318 0.0688479010182965 0.085179840341253 0.0973150229980802 0.111808539878802 0.139956479162058 1135.70757398044 1.00208895665952
"ppadjpred[18]" 0.0910145403091186 0.000518160997383269 0.0174156061826809 0.0625985433714436 0.0779483599060734 0.0891318080264401 0.10248050321358 0.128411338070137 1129.65999956177 1.00205215663807
"ppadjpred[19]" 0.0833280763630332 0.000481783010605773 0.016146707356007 0.0569706236422798 0.0713331007062703 0.0815880446656696 0.0937788169361038 0.118028068610988 1123.22040900435 1.00202787023209
"ppadjpred[20]" 0.0762958832416038 0.000448745727275446 0.0149940833682263 0.0520446518312672 0.0653658955292727 0.0746422482834681 0.0858740961403714 0.108771256089437 1116.44977235796 1.00201591735202
"ppadjpred[21]" 0.069861838547363 0.000418642030958094 0.0139440534467646 0.0471815742461578 0.0594478334523406 0.0683302401023131 0.0784997064580405 0.10078539660827 1109.41087875003 1.00201587460103
"ppadjpred[22]" 0.0639746704803276 0.000391119300993843 0.0129847234201363 0.0430778082320352 0.0542581755308084 0.062752002171801 0.0719482013954842 0.092502858597442 1102.1657488222 1.00202712098189
"ppadjpred[23]" 0.0585875354935514 0.000365872890915612 0.0121057688266367 0.0391966603188208 0.0494569411404528 0.0573634235688312 0.0659296257217727 0.0851411622685192 1094.7735311594 1.00204888585679
"ppadjpred[24]" 0.0536576329896169 0.000342640134338916 0.0112982379297211 0.0356060036448636 0.0452894673091295 0.052500760290498 0.0604777277874711 0.0785123998156613 1087.28893729913 1.00208029557268
"ppadjpred[25]" 0.0491458537863895 0.000320882580588924 0.0105543740463614 0.0322378309595498 0.0413225018077968 0.0481252399629841 0.0553973472004426 0.0727301589247087 1081.86402532658 1.00212041607978
"ppadjpred[26]" 0.0450164593713331 0.000300664847649581 0.00986745645586718 0.029166486833485 0.0377698375766854 0.0440224231713412 0.050865318970334 0.0669203681475942 1077.07296843516 1.00216828983012
"ppadjpred[27]" 0.0412367892286139 0.000281948692424817 0.00923165898903122 0.026492052874537 0.0344877443329908 0.0402242693290889 0.0467789354061919 0.0618113995970223 1072.06060550001 1.00222296611595
"ppadjpred[28]" 0.0377769937644334 0.00026457979650513 0.00864192523583461 0.0240963187086179 0.0314485061365317 0.0368565559074964 0.0429423404558693 0.0573789759057279 1066.86054290267 1.00228352471488
"ppadjpred[29]" 0.0346097905756796 0.000248424597965417 0.00809385917764255 0.0218414689593554 0.0287079430430051 0.0337637703569407 0.0394130838287515 0.0529724263772047 1061.50512826031 1.00234909322144
"ppadjpred[30]" 0.0317102420070066 0.0002333673344178 0.00758362995936687 0.0197949893076183 0.0261857474837953 0.0308523774830859 0.0361956510886559 0.0490275412407 1056.02484510216 1.00241885876897
"ppadjpred[31]" 0.0290555521236018 0.000219307459649888 0.007107889472239 0.0178923747634934 0.0238371993438238 0.0281838619520027 0.0332787180774599 0.0452028633462116 1050.44791469647 1.00249207501138
"ppadjpred[32]" 0.0266248813928053 0.000206157401956116 0.00666370141614255 0.0160794264844753 0.0217311782352159 0.025759989695564 0.0305370849311334 0.0416449491024709 1044.80007082025 1.00256806527737
"ppadjpred[33]" 0.0243991775188411 0.00019384063105631 0.00624848054560368 0.014650386729851 0.0198225905774147 0.0235610898019588 0.0280612233217182 0.0385088812851092 1039.10447226591 1.00264622276952
"ppadjpred[34]" 0.0223610210125556 0.000182290000518688 0.00585994086743696 0.0132378937449029 0.0180892445995143 0.0215724531736476 0.0257976779284379 0.0356224493693227 1033.38171998182 1.00272600858943
"ppadjpred[35]" 0.0204944842034339 0.000171449208669017 0.00549605164229326 0.0120543125280621 0.0164810913310809 0.0197426849705356 0.023770019303425 0.0329523701179739 1027.61548441258 1.00280694825445
"ppadjpred[36]" 0.0187850025153722 0.000161316042758799 0.00515500013919828 0.0108718649816706 0.015029851823528 0.0180973025085117 0.021859763276195 0.0305609814659577 1021.17986509095 1.0028886272493
